a	а
a bit	трохи
a few	декілька
a priori	апріорі
a propos	пропозиція
aback	острах
abacus	абакус
abacuses	абакуси
abaddon	абаддон
abaft	відхилення
abalone	малий
abalones	абалони
abandon	відмовитися
abandoned	занедбаний
abandoned	занедбаний
abandoning	відмова від
abandonment	залишення
abandons	відмовляється
abase	база
abased	занедбаний
abasement	опора
abasements	підвалини
abases	відмовляється
abash	ухилитись
abashed	збентежений
abashes	знущається
abashing	хиткий
abashment	знущання
abasing	зловживання
abate	знизити
abated	стихлий
abatement	зменшення
abatements	скорочення
abates	стихає
abating	спати
abattoir	кладовище
abb	піткання
abbacy	аббатство
abbess	ігумення
abbey	абатство
abbeys	абатства
abbot	ігумен
abbots	абати
abbreviate	скоротити
abbreviated	скорочено
abbreviates	скорочує
abbreviating	скорочення
abbreviation	абревіатура
abbreviations	абревіатури
abc	абс
abdicate	зректися
abdicated	відмовився
abdicates	зрікається
abdicating	зречення
abdication	зречення
abdomen	живіт
abdomens	живота
abdominal	черевної
abdominous	черевний
abducent	викрадення
abduct	викрасти
abducted	викрадено
abducting	викрадення
abduction	викрадення
abductions	викрадення
abductor	викрадач
abductors	викрадачі
abducts	викрадачів
abeam	абем
abecedarian	абецеріан
abed	ліжко
aberrance	відхилення
aberrancy	відхилення
aberrant	аберрант
aberration	аберація
aberrations	аберації
abet	допомагати
abetment	спокій
abets	абатів
abetted	спокійний
abetter	кращий
abetting	спонукання
abettor	настоятель
abeyance	позбавлення
abhor	огида
abhorred	гидкий
abhorrence	огиду
abhorrent	огидний
abhorring	огида
abhors	ганьба
abidance	прихильність
abide	дотримуватися
abide by	дотримуватися
abided	протримався
abides	перебуває
abiding	незмінний
abilities	здібності
ability	здатність
abject	ухилятися
abjection	викидання
abjections	відхилення
abjectly	огидно
abjuration	виснаження
abjure	абюре
abjured	погане
abjures	відмовлятися
abjuring	поводження
ablated	абляція
ablation	абляція
ablative	аблятивний
ablaut	аблять
ablaze	палаючий
able	здатний
abler	здатний
ablest	здатний
abloom	мерзло
ablution	вимивання
ablutions	вимивання
ably	спритно
abnegate	відмінити
abnegates	відміняється
abnegation	відмова
abnormal	ненормальне
abnormalcy	аномалія
abnormalities	аномалії
abnormality	ненормальність
abnormity	аномалія
aboard	на борту
abode	обитель
abodes	обитель
abolish	скасувати
abolished	скасовано
abolishes	скасовує
abolishing	скасування
abolishment	скасування
abolition	скасування
abolitionist	скасовуючий
abominable	гидотна
abominate	гидота
abominated	гидота
abominates	гидота
abominating	грізний
abomination	гидота
abominations	гидоти
aboriginal	аборигенні
aborigine	абориген
aborigines	аборигени
abort	перервати
aborted	аборт
aborting	аборт
abortion	аборт
abortionist	абортист
abortionists	абортисти
abortions	аборти
abortive	абортивний
aborts	аборти
abound	багато
abounded	рясне
abounding	рясніє
abounds	рясніє
about	о
above	вище
aboveboard	над бортом
abracadabra	абракадабра
abrade	зношуватися
abraded	стирається
abrades	зношуватися
abrasion	стирання
abrasions	потертості
abrasive	абразивні
abrasives	абразивні речовини
abreaction	абреакція
abreast	в курсі
abridge	абрид
abridged	скорочений
abridgement	скорочення
abridges	скорочень
abridging	скорочення
abridgment	скорочення
abroad	за кордоном
abrogate	відміняти
abrogated	скасовано
abrogates	скасовує
abrogating	зневажливий
abrogation	скасування
abrupt	крутий
abruption	прорив
abruptly	різко
abruptness	крутість
abscess	абсцес
abscessed	набряк
abscesses	абсцеси
abscissa	абсциса
abscission	осідання
abscond	уникнути
absconded	ухилився
absconding	ухиляючись
absence	відсутність
absences	відсутності
absent	відсутні
absented	заочно
absentee	заочно
absentees	заочні
absenting	відсутні
absents	відсутня
absinth	абсент
absinthe	абсент
absolute	абсолютний
absolutely	абсолютно
absoluteness	абсолютність
absolution	відпущення
absolutism	абсолютизм
absolutist	абсолютист
absolve	абсолютизувати
absolved	абсолютизований
absolves	відміняє
absolving	абсолютизуюча
absorb	поглинати
absorbable	всмоктується
absorbed	поглинута
absorbent	абсорбент
absorbing	поглинаючи
absorbs	поглинає
absorption	поглинання
absorptions	поглинання
absorptive	поглинаюча
abstain	утримуватися
abstained	утримався
abstainer	абстинент
abstaining	утримуючись
abstains	утримується
abstemious	грізний
abstention	утриманий
abstentions	утрималися
abstinence	утримання
abstinent	стриманий
abstinent	стриманий
abstract	реферат
abstracted	абстрагуватися
abstractedness	абстрактність
abstracting	абстрагування
abstraction	абстракція
abstractions	абстракції
abstracts	тези
abstruse	змушений
abstruseness	потворність
absurd	абсурд
absurdities	безглуздість
absurdity	безглуздість
abundance	достаток
abundances	достатку
abundant	рясний
abundantly	рясно
abuse	зловживання
abused	зловживали
abuses	зловживання
abusing	зловживання
abusive	образливий
abut	прилягати
abutment	абатмент
abutments	абатменти
abuts	упирається
abutted	опорний
abutter	опора
abuzz	абез
abysm	безодня
abysmal	бездонний
abysmally	безглуздо
abyss	безодня
abyssal	безодня
abysses	безодні
acacia	акація
academe	академія
academia	академії
academic	академічний
academician	академік
academics	науковців
academies	академії
academy	академія
acanthus	акант
acanthuses	акантуси
accede	приєднатися
acceded	приєднався
accedes	acces
acceding	приєднання
accelerando	акселерандо
accelerate	прискорити
accelerated	прискорений
accelerates	прискорюється
accelerating	прискорення
acceleration	прискорення
accelerations	прискорення
accelerator	прискорювач
accelerators	прискорювачі
accelerometer	акселерометр
accent	наголос
accented	наголошений
accenting	наголос
accents	наголоси
accentuate	наголошувати
accentuated	наголошений
accentuates	наголошує
accentuating	акцентування
accentuation	акцентуація
accept	приймати
acceptability	прийнятність
acceptable	прийнятний
acceptance	прийняття
acceptances	акцепти
acceptant	акцептант
acceptation	прийняття
accepted	прийнято
accepting	прийняття
acceptor	акцептор
acceptors	акцептори
accepts	приймає
access	доступ
accessary	допоміжний
accessed	доступний
accesses	доступу
accessibility	доступність
accessible	доступні
accessing	доступ
accession	приєднання
accessions	приєднання
accessories	аксесуари
accessory	аксесуар
accidence	випадковість
accident	аварія
accidental	випадковий
accidentally	випадково
accidents	нещасні випадки
acclaim	вітати
acclaimed	відомий
acclaiming	визнання
acclaims	визнає
acclamation	акламація
acclimate	аклімат
acclimation	аклімація
acclimatisation	акліматизація
acclimatization	акліматизація
acclimatize	акліматизувати
acclimatized	акліматизований
acclivity	аклігітизм
accolade	визнання
accolades	відзнаки
accommodate	вмістити
accommodated	розміщений
accommodates	вміщує
accommodating	розміщення
accommodation	житло
accommodations	житло
accompanied	супроводжується
accompanies	супроводжує
accompaniment	супровід
accompaniments	супроводи
accompanist	акомпаніатор
accompanists	акомпаніатори
accompany	супроводжувати
accompanying	супроводжуючі
accomplice	співучасник
accomplices	співучасників
accomplish	виконати
accomplishable	здійснений
accomplished	здійснено
accomplishes	здійснює
accomplishing	виконання
accomplishment	звершення
accomplishments	звершень
accord	згода
accordance	відповідно
accordant	акордант
accorded	надається
according	відповідно до
accordingly	відповідно
accordion	гармошка
accordions	гармошки
accords	домовленості
accost	звертатися
accosted	визнаний
accosting	звертатися
accosts	видатки
accoucheuse	акупушез
account	рахунок
account book	книга обліку
accountabilities	підзвітність
accountability	підзвітність
accountable	підзвітний
accountancy	бухгалтерський облік
accountant	бухгалтер
accountants	бухгалтери
accounted	облік
accounting	бухгалтерський облік
accountings	обліку
accounts	рахунки
accoutre	акумулятор
accoutred	проклятий
accoutrement	приналежність
accoutres	акумулятори
accoutring	акумуляція
accredit	акредитувати
accredited	акредитований
accrete	акретит
accreted	нарощений
accretion	нарощування
accretions	наростів
accrual	нарахування
accruals	нарахування
accrue	нараховувати
accrued	нараховано
accrues	нараховується
accruing	нарахування
acculturated	акультурний
acculturation	акультурація
accumulate	накопичувати
accumulated	накопичений
accumulates	накопичується
accumulating	накопичуючи
accumulation	скупчення
accumulations	накопичення
accumulative	накопичувальний
accumulator	акумулятор
accumulators	акумулятори
accuracies	точності
accuracy	точність
accurate	точний
accursed	проклятий
accurst	прокляття
accusation	звинувачення
accusations	звинувачення
accusative	звинувачувальний
accusatorial	звинувачувальний
